time, Quad.Est.E.Pos, Quad.Est.S.Z
1.530015,0.062116,0.326696
1.535016,0.079017,0.326872
1.540016,0.091642,0.326993
1.545016,0.111984,0.327178
1.550016,0.126297,0.327304
1.555017,0.148721,0.327497
1.560017,0.164172,0.327629
1.565017,0.188222,0.327831
1.570017,0.204780,0.327969
1.575018,0.230258,0.328181
1.580018,0.247645,0.328326
1.585018,0.274399,0.328548
1.590018,0.292626,0.328699
1.595019,0.320602,0.328931
1.600019,0.339689,0.329089
1.605019,0.101975,0.327746
1.610019,0.093379,0.327851
1.615019,0.081270,0.328012
1.620020,0.074085,0.328121
1.625020,0.065642,0.328290
1.630020,0.062331,0.328404
1.635020,0.062049,0.328580
1.640021,0.065289,0.328700
1.645021,0.074855,0.328884
1.650021,0.083689,0.329009
1.655021,0.099789,0.329201
1.660022,0.111824,0.329333
1.665022,0.131655,0.329534
1.670022,0.145767,0.329671
1.675022,0.168035,0.329882
1.680022,0.183596,0.330026
1.685023,0.207737,0.330246
1.690023,0.224348,0.330397
1.695023,0.250085,0.330628
1.700023,0.267738,0.330785
1.705024,0.085609,0.329447
1.710024,0.076782,0.329552
1.715024,0.064986,0.329712
1.720024,0.058825,0.329821
1.725025,0.053827,0.329988
1.730025,0.054275,0.330102
1.735025,0.060891,0.330277
1.740025,0.068675,0.330396
1.745026,0.083943,0.330579
1.750026,0.095836,0.330704
1.755026,0.115484,0.330895
1.760026,0.129506,0.331026
1.765026,0.151679,0.331226
1.770027,0.167114,0.331363
1.775027,0.191125,0.331572
1.780027,0.207673,0.331715
1.785027,0.233224,0.331935
1.790028,0.250732,0.332085
1.795028,0.277680,0.332314
1.800028,0.296089,0.332471
1.805028,0.091446,0.331138
1.810029,0.081832,0.331242
1.815029,0.068376,0.331401
1.820029,0.060434,0.331510
1.825029,0.051708,0.331676
1.830029,0.049241,0.331790
1.835030,0.052212,0.331964
1.840030,0.058414,0.332082
1.845030,0.072348,0.332264
1.850030,0.083718,0.332388
1.855031,0.102952,0.332579
1.860031,0.116842,0.332709
1.865031,0.138787,0.332908
1.870031,0.154064,0.333044
1.875032,0.177917,0.333253
1.880032,0.194310,0.333395
1.885032,0.219713,0.333613
